"OTU"	"Domain"	"Supergroup"	"Division/Kingdom"	"Phylum/Class"	"Level_X"	"Level_XX"	"Level_XXX"	"Level_XXXX"	"Level_XXXXX"	"Species"
"OTU1"	"Eukaryota"	"Excavata"	"Discoba"	"Heterolobosea"	"Tetramitia"	NA	NA	NA	NA	NA
"OTU2"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Saccharomycotina"	"Saccharomycetales"	NA	NA	NA	NA
"OTU3"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Saccharomycotina"	"Saccharomycetales"	NA	NA	NA	NA
"OTU4"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Saccharomycotina"	"Saccharomycetales"	NA	NA	NA	NA
"OTU5"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Saccharomycotina"	"Saccharomycetales"	NA	NA	NA	NA
"OTU6"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	"Gregarinidae"	"Leidyana2"	NA	NA	NA
"OTU7"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	NA	NA	NA	NA	NA
"OTU8"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	"Gregarinidae"	NA	NA	NA	NA
"OTU9"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	"Gregarinidae"	"Gregarina3"	NA	NA	NA
"OTU10"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	"Gregarinidae"	"Leidyana1"	NA	NA	NA
"OTU11"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	"Gregarinidae"	NA	NA	NA	NA
"OTU12"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	NA	NA	NA	NA	NA
"OTU13"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	"Gregarinidae"	NA	NA	NA	NA
"OTU14"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	NA	NA	NA	NA	NA
"OTU15"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	"Gregarinidae"	NA	NA	NA	NA
"OTU16"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	NA	NA	NA	NA	NA
"OTU17"	"Eukaryota"	"Alveolata"	"Apicomplexa"	"Gregarinomorphea"	"Eugregarinorida"	"Gregarinidae"	NA	NA	NA	NA
"OTU18"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Annelida"	"Harmothoe"	NA	NA	NA	NA	NA
"OTU19"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Craniata"	"Teleostei"	NA	NA	NA	NA	NA
"OTU20"	"Eukaryota"	"Rhizaria"	"Cercozoa"	"Endomyxa-Ascetosporea"	"Haplosporida"	"Haplosporidiidae"	"Haplosporidium"	NA	NA	NA
"OTU21"	"Eukaryota"	"Rhizaria"	"Cercozoa"	"Endomyxa-Ascetosporea"	"Haplosporida"	NA	NA	NA	NA	NA
"OTU22"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Phaeophyceae"	"Asperococcus"	"bullosus"	NA	NA	NA	"Asperococcus_bullosus"
"OTU23"	"Eukaryota"	"Alveolata"	"Dinoflagellata"	"Dinophyceae"	"Suessiales"	"Suessiaceae"	NA	NA	NA	NA
"OTU24"	"Eukaryota"	"Stramenopiles"	"Ochrophyta"	"Raphidophyceae"	"Heterosigma"	"akashiwo"	NA	NA	NA	"Heterosigma_akashiwo"
"OTU25"	"Eukaryota"	"Rhizaria"	"Cercozoa"	"Filosa-Imbricatea"	"Thaumatomonadida"	"Thaumatomonadidae"	"Thaumatomonas"	NA	NA	NA
"OTU26"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Microsporidiomycota"	"Microsporidiomycotina"	NA	NA	NA	NA	NA
"OTU27"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	NA	NA	NA	NA	NA
"OTU28"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Porifera"	"Demospongiae"	"Halisarca"	NA	NA	NA	NA
"OTU29"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Platyhelminthes"	"Turbellaria"	"Rhabdocoela"	NA	NA	NA	NA
"OTU30"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Arthropoda"	"Crustacea"	"Maxillopoda"	NA	NA	NA	NA
"OTU31"	"Eukaryota"	"Opisthokonta"	NA	NA	NA	NA	NA	NA	NA	NA
"OTU32"	"Eukaryota"	"Alveolata"	"Ciliophora"	"Oligohymenophorea"	"Peritrichia"	"Sessilida"	NA	NA	NA	NA
"OTU33"	"Eukaryota"	"Stramenopiles"	"Pseudofungi"	"Pirsonia"	"Clade"	NA	NA	NA	NA	NA
"OTU34"	"Eukaryota"	"Opisthokonta"	"Metazoa"	"Arthropoda"	"Crustacea"	"Maxillopoda"	NA	NA	NA	NA
