"ASV"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV1"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV2"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV3"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV4"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV5"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV6"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV7"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV8"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV9"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV10"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV11"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV12"	"Eukaryota"	"Bacillariophyta"	"Coscinodiscophyceae"	"Thalassiosirales"	NA	NA	NA
"ASV13"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV14"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV15"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV16"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV17"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV18"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV19"	"Eukaryota"	"Ectocarpales"	"Phaeophyceae_16"	"Ectocarpales"	"Acinetosporaceae"	"Acinetospora"	"Acinetospora_filamentosa"
"ASV20"	"Eukaryota"	"Mollusca"	"Gastropoda"	"Nudibranchia"	"Onchidorididae"	"Onchidoris"	"Onchidoris_bilamellata"
"ASV21"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV22"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV23"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV24"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV25"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV26"	"Eukaryota"	"Annelida"	"Polychaeta"	"Phyllodocida"	"Phyllodocidae"	"Phyllodoce"	"Phyllodoce_mucosa"
"ASV27"	"Eukaryota"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV28"	"Eukaryota"	"Porifera"	"Demospongiae"	"Dendroceratida"	"Halisarcidae"	"Halisarca"	"Halisarca_dujardini"
"ASV29"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV30"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV31"	"Eukaryota"	"Ectocarpales"	"Phaeophyceae_16"	"Ectocarpales"	"Acinetosporaceae"	"Feldmannia"	"Feldmannia_chitonicola"
"ASV32"	"Eukaryota"	"Arthropoda"	"Hexanauplia"	"Harpacticoida"	"Canthocamptidae"	"Mesochra"	"Mesochra_pygmaea"
"ASV33"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV34"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV35"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV36"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV37"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV38"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV39"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV40"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV41"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV42"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV43"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV44"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV45"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV46"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV47"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV48"	"Eukaryota"	"Chordata"	"Ascidiacea"	"Aplousobranchia"	"Didemnidae"	"Diplosoma"	"Diplosoma_listerianum"
"ASV49"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV50"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV51"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV52"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV53"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV54"	"Eukaryota"	"Bacillariophyta"	"Coscinodiscophyceae"	"Thalassiosirales"	"Thalassiosiraceae"	"Thalassiosira"	"Thalassiosira_pseudonana"
"ASV55"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV56"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV57"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV58"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV59"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV60"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV61"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV62"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV63"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV64"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV65"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"ASV66"	"Eukaryota"	NA	NA	NA	NA	NA	NA
