"ASV"	"ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1"	"ARMS_TZS_Angbat_20200608_20201117_MF100_ETOH_s1_r1"	"ARMS_TZS_Angbat_20200608_20201117_MF500_ETOH_s1_r1"	"ARMS_TZS_Angbat_20200608_20201117_SF40_ETOH_s1_r1"	"ARMS_TZS_Kummelkobben_20200608_20201120_MF100_ETOH_s1_r1"	"ARMS_TZS_Kummelkobben_20200608_20201120_SF40_ETOH_s1_r1"	"ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1"	"ARMS_Getxo_G1_20200624_20201103_MF500_s1_r1"	"ARMS_Getxo_G1_20200624_20201103_SF40_s1_r1"	"ARMS_Getxo_G2_20200624_20201103_MF100_s1_r1"	"ARMS_Getxo_G2_20200624_20201103_SF40_s1_r1"	"ARMS_Getxo_G3_20200624_20201103_MF100_s1_r1"	"ARMS_Getxo_G3_20200624_20201103_SF40_s1_r1"	"ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1"	"ARMS_SWC_Bjorko1_20200131_20200518_SF40_s1_r1"	"ARMS_SWC_Gbg1_20200206_20200520_MF500_s1_r1"	"ARMS_SWC_Gbg1_20200206_20200520_SF40_s1_r1"	"ARMS_SWC_Gbg2_20200206_20200520_MF100_s1_r1"	"ARMS_SWC_Gbg3_20200206_20200529_MF100_s1_r1"	"ARMS_SWC_Gbg3_20200206_20200529_MF500_s1_r1"	"ARMS_SWC_Gbg3_20200206_20200529_SF40_s1_r1"	"ARMS_SWC_Gbg4_20200206_20200529_MF100_s1_r1"	"ARMS_SWC_Gbg4_20200206_20200529_MF500_s1_r1"	"ARMS_SWC_Gbg4_20200206_20200529_SF40_s1_r1"	"ARMS_SWC_Helsingborg1_20200305_20200604_MF100_s1_r1"	"ARMS_SWC_Helsingborg1_20200305_20200604_MF500_s1_r1"	"ARMS_SWC_Helsingborg2_20200305_20200604_MF100_s1_r1"	"ARMS_SWC_Helsingborg2_20200305_20200604_MF500_s1_r1"	"ARMS_SWC_Helsingborg2_20200305_20200604_SF40_s1_r1"	"ARMS_SWC_Hjuvik1_20200131_20200518_MF100_s1_r1"	"ARMS_SWC_Hjuvik1_20200131_20200518_MF500_s1_r1"	"ARMS_SWC_Hjuvik1_20200131_20200518_SF40_s1_r1"	"ARMS_SWC_Marstrand1_20200228_20200527_MF100_s1_r1"	"ARMS_SWC_Marstrand1_20200228_20200527_SF40_s1_r1"	"ARMS_SWC_Marstrand2_20200228_20200527_MF100_s1_r1"	"ARMS_SWC_Marstrand2_20200228_20200527_MF500_s1_r1"	"ARMS_SWC_Marstrand3_20200228_20200527_MF100_s1_r1"	"ARMS_SWC_Marstrand3_20200228_20200527_SF40_s1_r1"	"ARMS_SWC_Varberg1_20200213_20200603_MF100_s1_r1"	"ARMS_SWC_Varberg1_20200213_20200603_MF500_s1_r1"	"ARMS_SWC_Varberg1_20200213_20200603_SF40_s1_r1"	"ARMS_SWC_Varberg2_20200213_20200603_MF100_s1_r1"	"ARMS_SWC_Varberg2_20200213_20200603_MF500_s1_r1"	"ARMS_SWC_Varberg3_20200213_20200603_MF100_s1_r1"	"ARMS_SWC_Varberg3_20200213_20200603_MF500_s1_r1"	"ARMS_SWC_Varberg3_20200213_20200603_SF40_s1_r1"	"ARMS_SWC_Preemraff1_20200401_20200715_MF500_s1_r1"	"ARMS_SWC_Preemraff1_20200401_20200715_SF40_s1_r1"	"ARMS_SWC_Preemraff2_20200401_20200715_MF500_s1_r1"	"ARMS_SWC_Preemraff2_20200401_20200715_SF40_s1_r1"
"ASV1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	401	3	0	0	0	0	0	0	13	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV5"	0	0	0	0	0	0	19	0	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
"ASV7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	48	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	3	14	0	0	1	4	3	3	25	10	0	1	0	0	0	6	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
"ASV12"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"ASV14"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12	1	0	0	0	0	0	0	0	0	7	0	0	0	17	0	8	7	10623	0	0	0	0	0	0	0	0	0	0	0	0	3
"ASV15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
