"ASV"	"Domain"	"Supergroup"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV1"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Lecanoromycetes"	"Lecanorales"	"Ramalinaceae"	"Ramalina"	NA
"ASV2"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Tremellales"	"Bulleribasidiaceae"	NA	NA
"ASV3"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Tremellales"	"Bulleribasidiaceae"	"Vishniacozyma"	"Vishniacozyma_victoriae"
"ASV4"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	NA	NA	NA	NA
"ASV5"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	NA	NA	NA	NA
"ASV6"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Tremellales"	NA	NA	NA
"ASV7"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Tremellales"	NA	NA	NA
"ASV8"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Chytridiomycota"	"Spizellomycetes"	"Spizellomycetales"	NA	NA	NA
"ASV9"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Chytridiomycota"	NA	NA	NA	NA	NA
"ASV10"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Chytridiomycota"	"Rhizophydiomycetes"	NA	NA	NA	NA
"ASV11"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Chytridiomycota"	"Rhizophydiomycetes"	"Rhizophydiales"	"Halomycetaceae"	"Halomyces"	NA
"ASV12"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Chytridiomycota"	"Rhizophydiomycetes"	NA	NA	NA	NA
"ASV13"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Chytridiomycota"	NA	NA	NA	NA	NA
"ASV14"	"Eukaryota"	"Opisthokonta"	"Fungi"	NA	NA	NA	NA	NA	NA
"ASV15"	"Eukaryota"	"Opisthokonta"	"Fungi"	NA	NA	NA	NA	NA	NA
"ASV16"	"Eukaryota"	"Opisthokonta"	"Fungi"	NA	NA	NA	NA	NA	NA
"ASV17"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Leotiomycetes"	NA	NA	NA	NA
"ASV18"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	NA	NA	NA	NA	NA
"ASV19"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Herpotrichiellaceae"	"Exophiala"	"Exophiala_psychrophila"
"ASV20"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Herpotrichiellaceae"	"Exophiala"	"Exophiala_crusticola"
"ASV21"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Herpotrichiellaceae"	"Exophiala"	"Exophiala_crusticola"
"ASV22"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Verrucocladosporium"	NA
"ASV23"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	NA	NA
"ASV24"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Verrucocladosporium"	"Verrucocladosporium_dirinae"
"ASV25"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	NA	NA	NA
"ASV26"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	NA	NA	NA
"ASV27"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	NA	NA
"ASV28"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Verrucocladosporium"	"Verrucocladosporium_dirinae"
"ASV29"	"Eukaryota"	"Opisthokonta"	"Fungi"	NA	NA	NA	NA	NA	NA
"ASV30"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Mycosphaerellaceae"	"Mycosphaerella"	"Mycosphaerella_tassiana"
"ASV31"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Teratosphaeriaceae"	NA	NA
"ASV32"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Cladosporium"	"Cladosporium_sphaerospermum"
"ASV33"	"Eukaryota"	"Opisthokonta"	"Fungi"	NA	NA	NA	NA	NA	NA
"ASV34"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Cladosporium"	"Cladosporium_delicatulum"
"ASV35"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	NA	NA	NA
"ASV36"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Cladosporium"	NA
"ASV37"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Cladosporium"	NA
"ASV38"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Cladosporium"	"Cladosporium_halotolerans"
"ASV39"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Pleosporaceae"	"Pyrenophora"	"Pyrenophora_tritici-repentis"
"ASV40"	"Eukaryota"	"Opisthokonta"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Pleosporaceae"	"Alternaria"	NA
